Rank,Company,Sector,Women on Boards,Board Size,Total women on boards,Executive women on boards,Combined Exec. Comm & DRs
80, 3i Group Plc,Financial Services,44.40%,9,5,1,16.70%
29,abrdn Plc,Financial Services,50.00%,12,6,1,34.90%
23,Admiral Group Plc,Insurance,54.50%,11,6,1,36.40%
56,Anglo American Plc,Basic Resources,38.50%,13,5,0,28.60%
98,Antofagasta Plc,Basic Resources,30.00%,10,3,0,18.50%
83,Ashtead Group Plc,Industrial Goods & Services,37.50%,8,3,0,14.70%
70,Associated British Foods Plc,"Food, Beverage & Tobacco",50.00%,9,3,0,23.20%
7,AstraZeneca Plc,Health Care,38.50%,13,5,1,45.00%
24,Auto Trader Group Plc,Technology,55.60%,9,5,1,36.30%
27,Avast Plc,Technology,33.30%,9,3,0,35.40%
61,AVEVA Group Plc,Technology,40.00%,10,4,0,27.10%
30,Aviva Plc,Insurance,41.70%,12,5,1,34.70%
9,B&M European Value Retail S.A.,Retail,42.90%,7,3,0,42.90%
47,BAE Systems Plc,"Industrial Goods &Services",35.70%,14,5,0,31.00%
65,Barclays Plc,Banks,33.30%,12,4,0,26.10%
67,Barratt Developments Plc,Consumer Products & Services,33.30%,9,3,0,25.70%
90,Berkeley Group Holdings Plc,Consumer Products & Services,28.60%,14,4,0,31.80%
85,BHP Group Plc,Basic Resources,20.00%,10,2,0,39.40%
12,BP Plc,Energy,40.00%,10,4,0,31.10%
71,British American Tobacco Plc,"Food, Beverage & Tobacco",33.30%,10,4,0,23.10%
60,BT Group Plc,Telecommunications,36.40%,11,4,0,28.10%
52,Bunzl Plc,"Industrial Goods &Services",37.50%,8,3,0,29.60%
2,Burberry Group Plc,Consumer Products & Services,54.50%,11,6,1,53.70%
91,Coca-Cola HBC AG,"Food, Beverage & Tobacco",30.80%,13,4,0,31.40%
87,Compass Group Plc,Consumer Products & Services,30.80%,13,4,0,35.00%
73,CRH Plc,Constrction & Materials,40.00%,12,4,0,22.40%
36,Croda International Plc,Chemicals,44.40%,9,4,0,33.30%
76,DCC Plc,Industrial Goods & Services,36.40%,11,4,0,20.70%
17,Dechra Pharmaceuticals Plc,Health Care,37.50%,8,3,0,38.70%
14,Diageo Plc,"Food, Beverage & Tobacco",60.00%,10,6,1,40.20%
41,DS Smith Plc,"Industrial Goods &Services",37.50%,8,3,0,32.90%
33,Electrocomponents Plc,"Industrial Goods &Services",44.40%,9,4,0,34.20%
42,Entain Plc,Travel & Leisure,33.30%,12,4,1,32.70%
97,EVRAZ Plc,Basic Resources,16.70%,12,2,0,20.90%
64,Experian Plc,Industrial Goods & Services,36.40%,11,4,0,26.40%
77,Ferguson Plc,Industrial Goods & Services,40.00%,11,5,0,19.80%
32,Flutter Entertainment Plc,Travel & Leisure,35.70%,14,5,0,34.30%
81,Fresnillo Plc,Basic Resources,37.50%,12,4,0,16.00%
10,GlaxoSmithKline Plc,Health Care,38.50%,13,5,1,42.50%
79,Glencore Plc,Basic Resources,45.50%,8,3,0,17.80%
16,Halma Plc,Industrial Goods & Services,50.00%,10,5,1,38.80%
55,Hargreaves Lansdown Plc,Financial Services,40.00%,10,4,0,28.60%
92,Hikma Pharmaceuticals Plc,Health Care,30.00%,10,3,0,30.10%
35,HSBC Holdings Plc,Banks,38.50%,13,5,0,33.50%
74,Imperial Brands Plc,"Food, Beverage & Tobacco",33.30%,11,4,0,21.40%
39,Informa Plc,Media,41.70%,12,5,0,33.00%
19,InterContinental Hotels Group Plc,Travel & Leisure,41.70%,12,5,0,37.30%
82,Intermediate Capital Group Plc,Financial Services,41.70%,12,5,1,15.20%
