,Company,1 Year Growth,5 Year Growth
1,3i Group Plc,-8.23,46
2,Admiral Group,-31.09,7.07
3,Airtel Africa plc,-2.06,
4,Anglo American,16.09,142.94
5,Antofagasta plc,-0.64,54.54
6,Ashtead Group plc,-18.26,167.83
7,Associated British Foods plc,-18.82,-46.15
8,AstraZeneca plc,34.71,134.46
9,Auto Trader Group plc,-21.2,71.51
10,AVEVA Group plc,-2.87,50.96
11,Aviva Plc,18.4,-8.61
12,B&M European Value Retail SA,-34.4,8.69
13,BAE Systems plc,47.22,47.64
14,Barclays plc,-16.55,-18.2
15,Barratt Developments plc,-42.89,-33.09
16,Berkeley Group Holdings plc,-13.14,0.81
17,BP Plc,47.03,0.07
18,British American Tobacco plc,32.38,-27.68
19,British Land Co plc,-23.39,-36.88
20,BT Group plc,-27.51,-53.78
21,Bunzl plc,6.28,44.02
22,Burberry Group plc,20.67,25.35
23,Centrica plc,45.86,-33.93
24,Coca-Cola HBC AG,-15.41,-14.94
25,Compass Group plc,24.52,24.52
26,ConvaTec Group Plc,19.83,19.59
27,CRH plc,-11.51,27.77
28,Croda International plc,-29.48,61.99
29,DCC plc,-21.29,-38.11
30,Dechra Pharmaceuticals plc,-44.99,25.93
31,Diageo plc,0,49.74
32,Endeavour Mining plc,1.5,
33,Entain plc,-18.45,55.63
34,Experian Plc,-13.9,92.07
35,F&C Investment Trust plc,1.64,47.07
36,Flutter Entertainment,15.33,47.05
37,Frasers Group plc,29.13,136.59
38,Fresnillo,-0.42,-30.04
39,Glencore plc,50.54,63.93
40,GSK plc,-10.23,8.13
41,Haleon plc,,
42,Halma plc,-26.89,73.36
43,Harbour Energy plc,-20.44,-77.01
44,Hargreaves Lansdown plc,-35.77,-46.78
45,Homeserve plc,31.35,48.84
46,HSBC Holdings plc,16.01,-32.17
47,Imperial Brands Group,34.7,-31.28
48,Informa plc,29.64,-17.41
49,InterContinental Hotels Group plc,5.63,10.83
50,Intermediate Capital Group plc,-41.97,19.06
51,International Consolidated Airlines Group SA,0.91,-67.28
52,Intertek Group plc,-24.87,-21.74
53,JD Sports Fashion plc,-43.39,94.06
54,Kingfisher,-23.66,-26.2
55,Land Securities Group plc,-17.18,-34.35
56,Legal & General Group plc,-10.89,-4.45
57,Lloyds Banking Group plc,-3.28,-30.11
58,London Stock Exchange Group plc,22.48,118.84
59,M&G plc,0.58,
60,Melrose Industries plc,-12.3,-34.72
61,Mondi Plc,-13.87,-12.63
62,National Grid,1.79,15.82
63,NatWest Group plc,10.86,-13.59
64,Next plc,-27.51,29.86
65,Ocado Group plc,-61.78,88.54
66,Pearson plc,61.74,33.28
67,Persimmon plc,-54.37,-49.41
68,Phoenix Group Holdings Plc,-8.26,-13.87
69,Prudential plc,-22.68,-36.62
70,Reckitt Benckiser Group Plc,-1.6,-6.91
71,RELX plc,-0.47,35.07
72,Rentokil Initial Plc,-11.51,71.08
73,Rightmove plc,-26.29,39.42
74,Rio Tinto plc,19.32,59.87
75,Rolls Royce Holdings Plc,-31.08,-70.44
76,RS Group plc,-22.63,50.08
77,Sage Group plc,3.6,4.79
78,Sainsbury (J) plc,-20.77,-4.43
79,Schroders plc,-22.63,-20.99
80,Scottish Mortgage Investment Trust plc,-47.01,76.74
81,Segro Plc,-43.26,47.09
82,Severn Trent Plc,-5.4,29.44
83,Shell plc,48.23,1.04
84,Smith & Nephew plc,-12.99,-17.67
85,Smith (DS),-17.67,-39.54
86,Smiths Group Plc,8.54,7.59
87,Smurfit Kappa Group Plc,-23.71,26.47
88,Spirax-Sarco Engineering plc,-28.25,97.4
89,SSE plc,9.92,27.1
90,St James's Place Plc,-26.29,-3.83
91,Standard Chartered plc,38.45,-19.45
92,Taylor Wimpey plc,-35.54,-46.47
93,Tesco plc,-17.78,17.86
94,Unilever plc,8.43,0.37
95,Unite Group,-13.36,30.17
96,United Utilities Group Plc,-3.55,27.48
97,Vodafone Group plc,-17.59,-59.2
98,Whitbread plc,-9.83,-14.99
99,WPP plc,-18.53,-33.14
