Rank,Company,Sector,Women on Boards,Board Size,Total women on boards,Executive women on boards,Combined Exec. Comm & DRs
80, 3i Group Plc,Financial Services,0.444,9,5,1,0.167
29,abrdn Plc,Financial Services,0.5,12,6,1,0.349
23,Admiral Group Plc,Insurance,0.545,11,6,1,0.364
56,Anglo American Plc,Basic Resources,0.385,13,5,0,0.286
98,Antofagasta Plc,Basic Resources,0.3,10,3,0,0.185
83,Ashtead Group Plc,Industrial Goods & Services,0.375,8,3,0,0.147
70,Associated British Foods Plc,"Food, Beverage & Tobacco",0.5,9,3,0,0.232
7,AstraZeneca Plc,Health Care,0.385,13,5,1,0.45
24,Auto Trader Group Plc,Technology,0.556,9,5,1,0.363
27,Avast Plc,Technology,0.333,9,3,0,0.354
61,AVEVA Group Plc,Technology,0.4,10,4,0,0.271
30,Aviva Plc,Insurance,0.417,12,5,1,0.347
9,B&M European Value Retail S.A.,Retail,0.429,7,3,0,0.429
47,BAE Systems Plc,Industrial Goods & Services,0.357,14,5,0,0.31
65,Barclays Plc,Banks,0.333,12,4,0,0.261
67,Barratt Developments Plc,Consumer Products & Services,0.333,9,3,0,0.257
90,Berkeley Group Holdings Plc,Consumer Products & Services,0.286,14,4,0,0.318
85,BHP Group Plc,Basic Resources,0.2,10,2,0,0.394
12,BP Plc,Energy,0.4,10,4,0,0.311
71,British American Tobacco Plc,"Food, Beverage & Tobacco",0.333,10,4,0,0.231
60,BT Group Plc,Telecommunications,0.364,11,4,0,0.281
52,Bunzl Plc,Industrial Goods & Services,0.375,8,3,0,0.296
2,Burberry Group Plc,Consumer Products & Services,0.545,11,6,1,0.537
91,Coca-Cola HBC AG,"Food, Beverage & Tobacco",0.308,13,4,0,0.314
87,Compass Group Plc,Consumer Products & Services,0.308,13,4,0,0.35
73,CRH Plc,Constrction & Materials,0.4,12,4,0,0.224
36,Croda International Plc,Chemicals,0.444,9,4,0,0.333
76,DCC Plc,Industrial Goods & Services,0.364,11,4,0,0.207
17,Dechra Pharmaceuticals Plc,Health Care,0.375,8,3,0,0.387
14,Diageo Plc,"Food, Beverage & Tobacco",0.6,10,6,1,0.402
41,DS Smith Plc,Industrial Goods & Services,0.375,8,3,0,0.329
33,Electrocomponents Plc,Industrial Goods & Services,0.444,9,4,0,0.342
42,Entain Plc,Travel & Leisure,0.333,12,4,1,0.327
97,EVRAZ Plc,Basic Resources,0.167,12,2,0,0.209
64,Experian Plc,Industrial Goods & Services,0.364,11,4,0,0.264
77,Ferguson Plc,Industrial Goods & Services,0.4,11,5,0,0.198
32,Flutter Entertainment Plc,Travel & Leisure,0.357,14,5,0,0.343
81,Fresnillo Plc,Basic Resources,0.375,12,4,0,0.16
10,GlaxoSmithKline Plc,Health Care,0.385,13,5,1,0.425
79,Glencore Plc,Basic Resources,0.455,8,3,0,0.178
16,Halma Plc,Industrial Goods & Services,0.5,10,5,1,0.388
55,Hargreaves Lansdown Plc,Financial Services,0.4,10,4,0,0.286
92,Hikma Pharmaceuticals Plc,Health Care,0.3,10,3,0,0.301
35,HSBC Holdings Plc,Banks,0.385,13,5,0,0.335
74,Imperial Brands Plc,"Food, Beverage & Tobacco",0.333,11,4,0,0.214
39,Informa Plc,Media,0.417,12,5,0,0.33
19,InterContinental Hotels Group Plc,Travel & Leisure,0.417,12,5,0,0.373
