Time,Country Name,Labour force participation rate,Female labour force participation rate,Male labour force participation rate
2021,Afghanistan,41.39,14.85,66.51
2021,Albania,58.53,50.73,66.15
2021,Algeria,40.22,15.68,64.48
2021,American Samoa,..,..,..
2021,Andorra,..,..,..
2021,Angola,76.46,73.97,79.07
2021,Antigua and Barbuda,..,..,..
2021,Argentina,60.40,50.01,71.60
2021,Armenia,51.91,42.66,63.00
2021,Aruba,..,..,..
2021,Australia,65.75,61.06,70.55
2021,Austria,60.79,55.51,66.28
2021,Azerbaijan,63.78,60.37,67.34
2021,The Bahamas,68.44,65.63,71.49
2021,Bahrain,70.31,42.36,83.53
2021,Bangladesh,56.97,34.87,78.78
2021,Barbados,59.74,56.06,63.73
2021,Belarus,63.73,57.31,71.39
2021,Belgium,54.26,49.84,58.81
2021,Belize,61.61,46.90,76.75
2021,Benin,70.95,69.33,72.60
2021,Bermuda,..,..,..
2021,Bhutan,60.14,51.63,67.40
2021,Bolivia,75.99,68.28,83.76
2021,Bosnia and Herzegovina,42.01,32.26,52.35
2021,Botswana,60.49,56.28,65.15
2021,Brazil,58.41,49.11,68.24
2021,British Virgin Islands,..,..,..
2021,Brunei,63.56,54.07,72.34
2021,Bulgaria,55.63,49.14,62.64
2021,Burkina Faso,64.87,57.24,72.72
2021,Burundi,78.20,78.99,77.38
2021,Cabo Verde,54.31,46.91,61.71
2021,Cambodia,79.68,73.96,85.92
2021,Cameroon,75.42,70.15,80.75
2021,Canada,65.21,60.80,69.74
2021,Cayman Islands,..,..,..
2021,Central African Rep.,71.24,63.31,79.49
2021,Chad,58.34,46.91,69.93
2021,Channel Islands,59.31,51.63,67.24
2021,Chile,54.63,44.17,65.55
2021,China,68.06,61.61,74.29
2021,Colombia,64.71,52.18,78.00
2021,Comoros,43.36,32.12,54.53
2021,Dem. Rep. Congo,65.10,61.21,69.07
2021,Congo,66.32,65.06,67.61
2021,Costa Rica,59.25,47.53,71.14
2021,C™te d'Ivoire,55.50,45.92,64.89
2021,Croatia,52.04,45.92,58.75
2021,Cuba,54.18,40.28,68.45
2021,Curacao,..,..,..
2021,Cyprus,62.67,56.65,68.77
2021,Czechia,59.68,51.67,68.06
2021,Denmark,62.13,57.72,66.65
2021,Djibouti,31.43,17.22,44.15
2021,Dominica,..,..,..
2021,Dominican Republic,62.25,49.58,75.16
2021,Ecuador,64.84,53.34,76.52
2021,Egypt,41.26,15.39,67.09
2021,El Salvador,56.69,43.58,72.57
2021,Equatorial Guinea,54.93,49.93,58.48
2021,Eritrea,76.83,70.18,83.62
2021,Estonia,63.38,57.45,70.17
2021,Eswatini,49.50,45.62,53.61
2021,Ethiopia,78.46,72.33,84.68
2021,Faroe Islands,..,..,..
2021,Fiji,56.63,37.70,75.26
2021,Finland,60.17,56.46,64.03
2021,France,55.61,51.90,59.67
2021,French Polynesia,54.66,47.51,61.67
2021,Gabon,48.26,39.12,57.01
2021,Gambia,57.40,48.92,66.26
2021,Georgia,58.93,50.99,68.03
2021,Germany,61.36,56.84,66.04
2021,Ghana,68.42,64.53,72.23
2021,Gibraltar,..,..,..
2021,Greece,50.51,43.30,58.11
2021,Greenland,..,..,..
2021,Grenada,..,..,..
2021,Guam,60.59,53.94,67.21
2021,Guatemala,58.13,37.36,80.27
2021,Guinea,62.12,62.06,62.19
2021,Guinea-Bissau,70.82,63.87,78.37
2021,Guyana,52.19,40.30,64.10
2021,Haiti,64.69,60.69,68.93
2021,Honduras,60.45,42.33,78.94
2021,"Hong Kong SAR, China",59.01,53.52,65.77
2021,Hungary,59.18,52.06,67.21
2021,Iceland,66.07,61.67,70.46
2021,India,45.57,19.23,70.09
2021,Indonesia,67.70,53.70,81.67
2021,Iran,41.32,14.35,68.09
2021,Iraq,41.52,11.08,71.76
2021,Ireland,62.46,56.53,68.57
2021,Isle of Man,..,..,..
2021,Israel,62.24,58.52,66.07
2021,Italy,48.44,39.89,57.59
2021,Jamaica,62.94,56.10,70.00
2021,Japan,61.89,53.30,71.03
2021,Jordan,38.13,13.47,62.32
2021,Kazakhstan,69.07,63.27,75.52
2021,Kenya,73.24,70.98,75.56
2021,Kiribati,..,..,..
2021,North Korea,81.52,77.18,86.14
2021,South Korea,62.89,53.39,72.45
2021,Kosovo,..,..,..
2021,Kuwait,70.49,47.43,83.80
2021,Kyrgyzstan,56.50,42.14,71.67
2021,Laos,76.43,74.79,78.09
2021,Latvia,60.06,54.54,66.83
2021,Lebanon,42.47,20.75,64.33
